CustomerID,Lookalikes
C0186,"[('C0177', 0.863), ('C0005', 0.821), ('C0043', 0.7941)]"
C0187,"[('C0126', 0.8286), ('C0137', 0.8277), ('C0174', 0.7133)]"
C0190,"[('C0181', 0.7958), ('C0011', 0.7382), ('C0107', 0.7039)]"
C0191,"[('C0174', 0.9483), ('C0137', 0.8956), ('C0126', 0.8617)]"
C0192,"[('C0112', 0.8547), ('C0184', 0.7851), ('C0025', 0.7362)]"
C0195,"[('C0039', 0.9767), ('C0133', 0.8609), ('C0048', 0.8171)]"
C0014,"[('C0097', 0.8422), ('C0128', 0.8252), ('C0060', 0.7924)]"
C0020,"[('C0080', 0.8264), ('C0110', 0.8176), ('C0144', 0.8131)]"
C0033,"[('C0058', 0.8595), ('C0097', 0.811), ('C0128', 0.7737)]"
C0058,"[('C0097', 0.8891), ('C0033', 0.8595), ('C0128', 0.856)]"
C0060,"[('C0014', 0.7924), ('C0097', 0.7564), ('C0033', 0.7343)]"
C0073,"[('C0110', 0.8116), ('C0014', 0.7735), ('C0080', 0.7418)]"
C0080,"[('C0110', 0.9475), ('C0020', 0.8264), ('C0073', 0.7418)]"
C0097,"[('C0128', 0.9749), ('C0058', 0.8891), ('C0014', 0.8422)]"
C0110,"[('C0080', 0.9475), ('C0144', 0.834), ('C0020', 0.8176)]"
C0128,"[('C0097', 0.9749), ('C0058', 0.856), ('C0014', 0.8252)]"
C0130,"[('C0150', 0.9762), ('C0097', 0.7773), ('C0128', 0.7654)]"
C0144,"[('C0110', 0.834), ('C0020', 0.8131), ('C0080', 0.7302)]"
C0150,"[('C0130', 0.9762), ('C0097', 0.7799), ('C0128', 0.7671)]"
C0193,"[('C0073', 0.5937), ('C0110', 0.5531), ('C0080', 0.5327)]"
C0009,"[('C0198', 0.9508), ('C0119', 0.923), ('C0121', 0.8793)]"
C0010,"[('C0111', 0.9709), ('C0132', 0.8978), ('C0062', 0.7907)]"
C0017,"[('C0179', 0.8376), ('C0057', 0.8263), ('C0051', 0.826)]"
C0019,"[('C0119', 0.8841), ('C0121', 0.8425), ('C0009', 0.7972)]"
C0023,"[('C0051', 0.9574), ('C0105', 0.7704), ('C0069', 0.7329)]"
C0037,"[('C0057', 0.8835), ('C0064', 0.8431), ('C0070', 0.6869)]"
C0044,"[('C0074', 0.8719), ('C0135', 0.82), ('C0061', 0.7351)]"
C0051,"[('C0023', 0.9574), ('C0017', 0.826), ('C0053', 0.7454)]"
C0053,"[('C0051', 0.7454), ('C0105', 0.7306), ('C0170', 0.7234)]"
C0057,"[('C0064', 0.9438), ('C0037', 0.8835), ('C0017', 0.8263)]"
C0061,"[('C0132', 0.8946), ('C0063', 0.826), ('C0198', 0.8126)]"
C0062,"[('C0010', 0.7907), ('C0198', 0.7398), ('C0135', 0.7381)]"
C0063,"[('C0167', 0.9329), ('C0132', 0.849), ('C0061', 0.826)]"
C0064,"[('C0057', 0.9438), ('C0037', 0.8431), ('C0070', 0.8138)]"
C0066,"[('C0105', 0.7837), ('C0023', 0.6668), ('C0053', 0.6106)]"
C0069,"[('C0023', 0.7329), ('C0127', 0.6991), ('C0051', 0.6705)]"
C0070,"[('C0064', 0.8138), ('C0167', 0.775), ('C0063', 0.7628)]"
C0074,"[('C0044', 0.8719), ('C0167', 0.8142), ('C0135', 0.7766)]"
C0081,"[('C0135', 0.8129), ('C0124', 0.7659), ('C0179', 0.7003)]"
C0086,"[('C0166', 0.8745), ('C0197', 0.8636), ('C0199', 0.8613)]"
C0089,"[('C0196', 0.8005), ('C0170', 0.7252), ('C0197', 0.6634)]"
C0100,"[('C0170', 0.835), ('C0053', 0.7091), ('C0127', 0.6936)]"
C0103,"[('C0172', 0.8672), ('C0009', 0.8583), ('C0119', 0.855)]"
C0105,"[('C0066', 0.7837), ('C0023', 0.7704), ('C0053', 0.7306)]"
C0111,"[('C0010', 0.9709), ('C0132', 0.8101), ('C0086', 0.7123)]"
C0119,"[('C0009', 0.923), ('C0019', 0.8841), ('C0172', 0.8745)]"
C0121,"[('C0009', 0.8793), ('C0119', 0.8733), ('C0198', 0.854)]"
C0124,"[('C0081', 0.7659), ('C0170', 0.7168), ('C0149', 0.6656)]"
C0127,"[('C0164', 0.8597), ('C0172', 0.8572), ('C0179', 0.8198)]"
C0132,"[('C0010', 0.8978), ('C0061', 0.8946), ('C0167', 0.864)]"
C0135,"[('C0167', 0.8507), ('C0044', 0.82), ('C0081', 0.8129)]"
C0149,"[('C0170', 0.87), ('C0182', 0.7815), ('C0135', 0.7542)]"
C0164,"[('C0172', 0.9011), ('C0199', 0.8903), ('C0127', 0.8597)]"
C0166,"[('C0197', 0.9155), ('C0199', 0.8972), ('C0086', 0.8745)]"
C0167,"[('C0063', 0.9329), ('C0132', 0.864), ('C0135', 0.8507)]"
C0170,"[('C0149', 0.87), ('C0100', 0.835), ('C0182', 0.8298)]"
C0172,"[('C0164', 0.9011), ('C0199', 0.8901), ('C0119', 0.8745)]"
C0179,"[('C0017', 0.8376), ('C0127', 0.8198), ('C0064', 0.7957)]"
C0182,"[('C0170', 0.8298), ('C0149', 0.7815), ('C0196', 0.6559)]"
C0196,"[('C0170', 0.8278), ('C0089', 0.8005), ('C0149', 0.6824)]"
C0197,"[('C0166', 0.9155), ('C0086', 0.8636), ('C0199', 0.7933)]"
C0198,"[('C0009', 0.9508), ('C0121', 0.854), ('C0119', 0.8133)]"
C0199,"[('C0166', 0.8972), ('C0164', 0.8903), ('C0172', 0.8901)]"
C0008,"[('C0098', 0.8703), ('C0194', 0.8362), ('C0024', 0.8226)]"
C0015,"[('C0036', 0.8454), ('C0094', 0.8112), ('C0035', 0.8004)]"
C0016,"[('C0042', 0.7378), ('C0183', 0.7285), ('C0024', 0.6974)]"
C0018,"[('C0026', 0.7766), ('C0125', 0.7305), ('C0050', 0.7074)]"
C0024,"[('C0194', 0.8696), ('C0116', 0.8433), ('C0098', 0.8368)]"
C0026,"[('C0050', 0.7935), ('C0018', 0.7766), ('C0072', 0.7526)]"
C0029,"[('C0030', 0.9521), ('C0036', 0.8597), ('C0094', 0.8218)]"
C0030,"[('C0029', 0.9521), ('C0034', 0.8672), ('C0036', 0.8114)]"
C0034,"[('C0030', 0.8672), ('C0029', 0.8087), ('C0049', 0.7694)]"
C0035,"[('C0131', 0.849), ('C0125', 0.8453), ('C0160', 0.8264)]"
C0036,"[('C0029', 0.8597), ('C0015', 0.8454), ('C0055', 0.8282)]"
C0038,"[('C0189', 0.9494), ('C0131', 0.8549), ('C0160', 0.7981)]"
C0042,"[('C0030', 0.7955), ('C0029', 0.7901), ('C0036', 0.7686)]"
C0046,"[('C0117', 0.7209), ('C0016', 0.6582), ('C0034', 0.6476)]"
C0047,"[('C0154', 0.913), ('C0116', 0.9048), ('C0049', 0.8446)]"
C0049,"[('C0047', 0.8446), ('C0024', 0.8152), ('C0194', 0.8118)]"
C0050,"[('C0125', 0.8356), ('C0183', 0.8347), ('C0026', 0.7935)]"
C0055,"[('C0116', 0.8517), ('C0036', 0.8282), ('C0024', 0.8016)]"
C0067,"[('C0183', 0.8978), ('C0072', 0.892), ('C0194', 0.8647)]"
C0072,"[('C0183', 0.9102), ('C0067', 0.892), ('C0125', 0.7943)]"
C0079,"[('C0185', 0.911), ('C0117', 0.7271), ('C0176', 0.61)]"
C0094,"[('C0157', 0.9201), ('C0029', 0.8218), ('C0015', 0.8112)]"
C0098,"[('C0194', 0.8935), ('C0008', 0.8703), ('C0024', 0.8368)]"
C0116,"[('C0047', 0.9048), ('C0157', 0.9027), ('C0154', 0.8744)]"
C0117,"[('C0185', 0.8582), ('C0176', 0.7718), ('C0079', 0.7271)]"
C0122,"[('C0183', 0.7382), ('C0154', 0.7034), ('C0194', 0.6376)]"
C0125,"[('C0035', 0.8453), ('C0050', 0.8356), ('C0183', 0.8239)]"
C0131,"[('C0038', 0.8549), ('C0035', 0.849), ('C0189', 0.8226)]"
C0139,"[('C0024', 0.7883), ('C0154', 0.7663), ('C0047', 0.7457)]"
C0154,"[('C0047', 0.913), ('C0116', 0.8744), ('C0024', 0.8001)]"
C0157,"[('C0094', 0.9201), ('C0116', 0.9027), ('C0047', 0.7762)]"
C0160,"[('C0035', 0.8264), ('C0038', 0.7981), ('C0131', 0.67)]"
C0176,"[('C0117', 0.7718), ('C0185', 0.7131), ('C0036', 0.6228)]"
C0183,"[('C0072', 0.9102), ('C0067', 0.8978), ('C0050', 0.8347)]"
C0185,"[('C0079', 0.911), ('C0117', 0.8582), ('C0176', 0.7131)]"
C0189,"[('C0038', 0.9494), ('C0131', 0.8226), ('C0116', 0.8166)]"
C0194,"[('C0098', 0.8935), ('C0024', 0.8696), ('C0067', 0.8647)]"
